SqFt,Bedrooms,Bathrooms,Age,Neighborhood,Garage,Price
4187,1,2,92,Urban,1,656584.4385255596
3856,3,1,97,Urban,1,639227.3227047145
3231,4,1,47,Urban,0,565942.5212619919
2532,4,1,81,Urban,0,454903.8833328665
2355,4,1,20,Urban,0,434417.2933150251
543,2,2,62,Rural,1,115412.30440729418
4863,2,1,17,Suburban,0,751617.5956682428
587,4,1,16,Rural,0,171334.2867840265
2584,3,2,92,Suburban,1,445252.24564110895
1716,4,1,33,Rural,1,329919.4460492766
4179,1,3,71,Urban,1,641203.8179221688
4492,2,3,33,Suburban,1,685163.790074259
3100,2,2,96,Rural,1,487748.8797629793
758,2,2,96,Urban,1,154317.73916462436
1275,2,3,84,Urban,1,235807.36104289367
2763,2,3,50,Rural,0,461298.58905781433
3305,2,3,22,Suburban,0,526237.7786880304
868,4,3,65,Rural,1,213820.1636029504
3732,4,2,53,Suburban,1,637167.4938305874
2363,3,1,85,Rural,0,423050.9008572942
2433,5,2,75,Rural,0,465413.2216217575
826,2,1,81,Urban,1,156877.31861644483
3570,1,1,61,Rural,1,558795.0273504637
560,5,3,59,Urban,1,184234.20265242812
2375,1,2,92,Urban,1,373275.522269689
1382,2,2,21,Suburban,0,249536.2379821645
4349,1,3,99,Suburban,1,667386.9176896453
3273,1,2,41,Rural,1,509784.74374320003
3289,4,1,28,Suburban,1,571504.5160628305
2734,5,2,66,Rural,1,504085.5911436482
4642,1,3,75,Rural,1,719427.2594730526
3954,4,1,20,Rural,1,667628.3784832315
4374,2,2,14,Suburban,0,710661.775873974
2412,1,1,80,Suburban,0,399005.17097300524
1005,5,1,15,Suburban,1,242780.90115448693
4576,1,1,7,Suburban,0,702789.767528989
4740,5,3,94,Suburban,1,826608.6292263836
3820,4,3,76,Urban,1,671454.2194655893
1257,1,1,2,Rural,0,177571.78889998823
1977,5,2,0,Rural,0,382725.25433748646
4561,1,2,84,Suburban,1,707638.6894939657
4283,5,2,73,Rural,0,744493.0610017977
826,5,1,8,Urban,1,228166.15500907504
4925,3,3,56,Rural,0,790100.0716291338
4659,1,3,38,Rural,0,720131.7493185679
4222,4,3,5,Suburban,0,710169.1647333637
3207,3,2,85,Rural,0,531778.3977688587
1393,2,3,29,Suburban,0,250237.61291443446
4691,2,2,74,Suburban,0,751355.0992482099
1231,5,3,6,Urban,0,279190.2806136509
750,3,1,74,Suburban,0,163093.83653869206
3144,3,3,72,Suburban,0,524588.8481078285
1606,5,2,84,Suburban,0,346890.80005727307
766,4,2,76,Rural,0,202381.5852602066
1291,5,2,7,Suburban,1,310429.5049165703
2853,4,3,0,Suburban,0,509669.11017840105
4955,2,2,3,Urban,1,773384.4617814994
3542,4,1,40,Suburban,1,621432.6652465184
2945,2,1,50,Suburban,0,481020.4866690903
731,3,2,39,Urban,1,162778.5278866417
2347,4,1,27,Suburban,1,430006.1014138097
3807,3,3,57,Rural,0,627430.3637400577
3480,1,2,59,Rural,1,547097.1797190787
3781,2,2,40,Rural,1,609331.319101327
4549,4,3,68,Suburban,1,769204.7865199967
4192,2,3,8,Urban,1,663202.9869313544
2051,1,1,29,Urban,0,328121.6940043163
2389,4,2,97,Urban,1,439466.9755883975
4162,1,3,87,Urban,1,653777.4560156838
2485,3,3,71,Rural,1,430491.21670645854
1024,2,2,75,Suburban,0,188685.6938888345
4549,4,2,17,Urban,0,750573.264600312
4874,2,1,60,Urban,1,774280.3926876314
2952,1,1,15,Rural,0,457129.819123474
3467,5,3,57,Rural,1,628501.3629515499
2923,2,3,0,Urban,1,494113.1645674042
2200,3,1,94,Rural,0,376298.9473771672
1813,2,3,6,Urban,0,301861.1800505308
4334,1,3,29,Rural,1,662635.8356763414
2771,4,1,37,Rural,1,503841.89058204746
592,2,1,21,Urban,0,134403.45901303855
3153,1,2,30,Urban,0,500239.74600200367
3148,5,3,40,Urban,0,572163.2703179591
1113,2,1,14,Urban,1,200953.483101073
2838,1,1,25,Suburban,1,451985.41983055865
2939,5,1,67,Suburban,1,534695.763316218
4607,4,1,68,Rural,1,768588.2529482967
1481,2,3,65,Urban,0,264267.21183501574
2867,5,2,87,Urban,1,518557.95348896214
3039,3,2,97,Suburban,0,507957.0988476362
3424,3,2,97,Urban,1,570075.6863231055
4440,2,3,3,Rural,1,711568.6405744347
785,2,2,76,Urban,1,165757.76929205746
3509,2,1,16,Urban,1,567491.5434424225
3068,1,1,99,Rural,0,477095.6842257718
3529,4,1,13,Urban,1,602780.5517314259
4625,5,2,93,Suburban,0,776038.6130170381
3781,5,2,25,Urban,1,654533.0494294226
3670,4,1,2,Urban,1,636028.054916743
1770,1,3,41,Urban,0,276787.7748726825
3976,1,3,24,Rural,0,610552.0256208559
3149,2,1,14,Rural,0,506358.7972087004
2840,2,1,66,Suburban,0,471961.80754082865
3041,1,1,98,Urban,0,472606.4246820687
2940,4,1,60,Rural,1,522659.3955203936
4227,4,2,51,Urban,0,739542.849252444
665,1,3,17,Rural,0,119647.7633710379
4205,1,1,85,Suburban,0,647751.2182738794
3513,2,2,71,Rural,0,567123.3846757768
3784,2,2,44,Suburban,0,596156.7059432213
1224,2,1,79,Rural,1,221215.9715801265
849,5,1,53,Suburban,0,225628.48569069803
1976,4,3,23,Suburban,1,350432.1274689492
2149,5,2,25,Urban,1,429436.5221447342
2087,5,1,48,Rural,1,405322.54477587854
2595,4,3,29,Suburban,0,468121.87250838615
1599,2,3,67,Suburban,1,281608.9159308169
4692,5,1,95,Suburban,0,807602.1662868329
1721,5,1,30,Suburban,0,369081.0514320051
2853,3,2,88,Suburban,0,497672.7314070357
3943,4,3,48,Rural,0,671523.5260249616
1254,5,2,52,Rural,0,293874.968654878
3198,3,2,29,Urban,1,529949.5993329936
2480,5,1,68,Suburban,1,474380.1737807935
1110,4,1,79,Suburban,1,228408.42350684758
550,5,1,2,Suburban,0,178650.04931078714
3134,5,3,81,Suburban,0,577052.6214753047
2423,2,2,85,Rural,0,399772.77791737684
4250,1,1,34,Rural,1,660862.7345712443
887,2,1,97,Urban,0,159083.0112947862
3291,1,2,9,Rural,0,502338.05555505696
1699,2,1,75,Suburban,1,287432.59225997963
2423,4,3,82,Urban,0,446441.72170470015
1136,1,2,31,Urban,0,208064.92495995612
749,2,3,78,Suburban,1,151079.37809050235
594,4,3,27,Rural,0,166483.91981233575
4735,3,3,11,Urban,1,790819.5093320624
4280,1,2,58,Suburban,1,669381.9261383547
1381,1,3,64,Rural,0,231477.00841130753
707,2,2,45,Urban,0,151756.51837340233
709,5,1,89,Rural,1,213043.82324573473
1006,5,3,88,Suburban,0,258558.58518538857
4774,2,2,45,Urban,0,766633.9624024668
1874,5,3,90,Rural,1,367691.99961971986
589,2,1,19,Urban,0,124781.78400412679
3879,4,2,45,Rural,1,656791.0362505954
3575,1,2,18,Urban,0,555327.05538376
2555,1,1,32,Suburban,1,404902.48441543547
1209,4,3,62,Rural,0,276348.9215584316
2034,5,2,27,Rural,0,390112.9280166929
3494,1,3,41,Rural,1,560247.8905871301
2841,3,3,15,Suburban,0,479435.467717701
923,5,3,67,Rural,0,246141.7380265286
1899,3,2,75,Rural,1,341454.9703076347
4654,4,3,1,Rural,0,793916.422609105
3710,1,3,2,Rural,1,572245.268054009
2385,5,3,78,Rural,0,460295.8593836445
814,4,2,97,Suburban,1,226300.46150188707
3881,1,2,87,Urban,1,604828.0967022926
4048,3,1,76,Rural,1,684017.0536402557
4557,3,3,38,Urban,0,753179.3647920898
3442,1,1,99,Rural,1,541770.748449921
3784,1,1,63,Suburban,1,561956.1672950507
1684,3,1,9,Urban,0,289952.2595509238
1137,2,3,58,Suburban,0,215110.67625723098
1923,2,3,11,Suburban,0,330346.1999240012
1225,2,3,10,Suburban,0,220520.28096032407
4364,4,2,75,Urban,1,729744.3329449398
2268,3,1,66,Rural,1,395420.7130685757
4173,4,2,82,Urban,0,702764.0173357344
2869,4,1,29,Urban,1,509257.06996190705
3586,4,1,10,Urban,0,623542.6482983459
3170,5,3,81,Suburban,0,573486.7937010308
4346,5,1,98,Suburban,1,733943.3953065603
2323,4,1,15,Suburban,1,447304.24578498333
2880,2,3,1,Rural,1,471405.0043644167
4879,3,3,29,Rural,0,775233.9108768724
971,5,3,86,Urban,0,229727.30289950187
2747,3,1,72,Rural,1,477627.80917174596
1926,3,1,56,Suburban,0,337169.01195498405
2041,5,1,85,Urban,1,388326.5662143371
3899,4,1,97,Suburban,0,686022.589245283
3469,3,2,16,Suburban,1,575870.4696820322
3482,3,2,13,Suburban,1,575045.5478789997
2002,1,3,99,Urban,0,329644.5572131879
2338,3,3,54,Suburban,1,394776.431293949
2319,2,3,10,Urban,1,366974.83684611536
1186,4,2,60,Urban,0,264473.2078659163
1916,3,1,41,Suburban,1,332825.5489288722
2924,3,2,67,Suburban,1,503254.37692574825
2655,3,1,14,Suburban,0,469296.50095221784
3578,3,1,58,Urban,0,602073.5019201423
4734,5,3,93,Suburban,0,799851.854819628
619,3,2,69,Rural,1,124526.97782875324
4103,5,1,86,Urban,0,712369.7565766863
3588,3,3,47,Urban,0,583670.2071516631
1792,1,3,4,Urban,0,289143.6238091103
2429,2,3,73,Suburban,1,407010.2154888139
1978,2,3,72,Suburban,0,329570.01145912276
1783,1,3,53,Urban,1,297107.8540213569
2033,1,3,52,Suburban,0,331224.5571758145
2343,2,3,92,Suburban,0,373770.3629033069
1233,3,3,51,Suburban,0,253769.53974642386
4907,2,2,57,Urban,1,758570.7680325642
3251,1,2,41,Suburban,1,513989.29749716615
4592,2,1,84,Rural,1,725364.7303513127
3367,5,3,35,Rural,0,604579.2913299717
4137,5,3,0,Urban,0,733289.7907208436
1194,4,3,91,Rural,0,260030.28823665422
3303,3,2,79,Rural,1,558833.6880408248
1549,2,2,10,Urban,0,278953.2846821039
1653,3,2,23,Rural,0,314503.8273113207
853,3,3,1,Urban,0,168797.46585584377
1520,4,1,44,Rural,0,303090.8265531235
2795,2,1,89,Suburban,1,448181.07228624175
2280,5,3,37,Suburban,1,437724.1294815035
544,1,3,82,Rural,0,95613.04491045256
3211,5,2,44,Suburban,1,605070.8933280999
1312,5,2,86,Urban,1,303900.497739815
3810,1,2,21,Suburban,0,608833.7386617693
3905,4,2,5,Urban,0,679937.662022534
3460,2,2,47,Urban,1,561707.7730113456
4440,3,2,72,Urban,0,735749.1670796257
3318,1,3,6,Urban,0,505682.38971896557
3951,5,3,41,Urban,1,693657.7421664211
2667,5,1,59,Suburban,0,494794.30721154745
4285,1,3,64,Rural,1,672272.5510407184
4285,3,2,67,Suburban,1,687368.4175607279
3719,1,3,33,Rural,0,554385.4443066508
623,4,2,33,Suburban,0,189663.73354043646
3998,2,1,67,Suburban,0,643929.6172578322
2340,4,3,25,Urban,0,446824.71485714195
2294,3,2,40,Suburban,1,415995.2107789749
1850,3,1,15,Suburban,0,346789.89812745235
2166,2,2,65,Suburban,0,364879.75669526734
2051,2,3,43,Rural,0,338795.9782460723
3892,1,2,52,Rural,0,589099.2735380625
2445,3,1,38,Rural,0,433544.26106976334
4038,1,2,80,Urban,0,618758.4020356784
2607,5,1,98,Rural,0,500394.2375564358
1101,3,2,89,Rural,0,223858.90682935686
4533,4,3,27,Urban,0,771063.8360818754
2588,2,1,76,Rural,1,430011.9908218238
3464,4,1,56,Urban,0,605258.259248079
724,2,3,32,Suburban,1,152358.45180705306
1311,3,2,47,Urban,1,268509.07286021084
662,3,1,48,Rural,0,162120.01148501344
3161,2,2,90,Rural,0,522140.32892032317
2926,2,3,43,Rural,1,464949.00348079356
3106,2,3,92,Urban,1,493370.6871160877
4481,4,1,24,Suburban,0,733556.817660809
4011,2,1,65,Rural,0,638770.3401654696
741,4,2,70,Suburban,1,195705.71206785343
3489,1,3,11,Suburban,0,537531.8584766733
3893,5,3,10,Rural,1,687025.4006104254
1318,2,1,63,Rural,0,223574.2873555826
3638,4,3,43,Urban,1,621562.2261724011
2022,4,3,91,Rural,0,371679.5768844986
660,2,2,3,Urban,0,151442.6625563227
4565,2,1,29,Rural,1,729462.7648733156
1831,4,1,44,Suburban,1,358770.77399611735
841,4,1,98,Urban,1,225083.66841519985
4140,1,1,46,Rural,1,643948.9814820611
2406,2,1,31,Urban,1,399642.8044233785
3059,4,3,65,Rural,1,545126.6612520337
2929,5,2,10,Rural,1,550272.5741773488
1077,1,3,13,Suburban,0,190596.0461585524
4762,4,2,82,Rural,0,794808.4587504155
4467,5,1,59,Rural,1,806654.3076974505
3581,3,2,80,Suburban,1,604749.4715252923
1819,5,1,29,Rural,0,384819.1102258509
3997,2,2,24,Rural,1,628066.5613878967
2605,2,1,61,Urban,1,432544.9882506944
2091,1,3,71,Rural,1,343397.84904608317
2606,2,3,23,Rural,0,425222.0224835202
4298,4,1,62,Urban,0,720747.7022119674
1949,3,2,55,Urban,0,349386.1220576357
2812,5,2,50,Urban,0,530406.9448796624
4022,3,3,61,Urban,0,666398.3585102197
903,3,2,46,Rural,0,200223.69190530517
778,5,1,8,Suburban,1,240470.1862226491
2233,3,3,31,Rural,0,391431.2645293069
2159,4,3,2,Suburban,1,405673.6791091743
928,1,3,54,Suburban,1,165430.6481499373
3741,3,2,88,Suburban,0,615814.8966696382
3173,4,1,59,Suburban,1,540471.989693101
2585,5,1,77,Suburban,1,487371.65481663035
3074,5,1,89,Rural,0,569786.70063017
1809,4,3,76,Suburban,1,353748.4255666391
1578,5,3,60,Urban,0,339248.31356016506
4014,2,1,55,Urban,0,638949.0593187519
4293,4,1,29,Urban,1,722990.214053934
4405,3,3,89,Urban,0,725113.8022833089
579,2,1,50,Suburban,0,118891.48555318892
2440,1,1,40,Suburban,1,399409.05982760823
4979,2,1,40,Urban,1,785119.7900419366
595,5,3,39,Urban,0,182556.89536891246
3345,4,2,54,Suburban,0,575160.5267734467
877,5,3,84,Urban,1,231385.68657739862
4661,5,1,50,Rural,1,805359.0549568017
4969,3,2,32,Suburban,1,796575.3658947984
4902,3,3,11,Urban,0,788504.5430928897
3351,5,2,70,Rural,1,614537.0293036622
1060,4,3,40,Rural,1,239950.24524514435
4948,3,1,62,Urban,0,801498.3762751292
3457,3,2,28,Rural,1,586947.8983011693
1274,1,1,96,Urban,0,210715.3297332222
964,4,2,98,Urban,0,233874.56674001814
2282,5,2,61,Urban,1,438798.9123275827
847,3,3,78,Rural,1,201146.75435630363
2262,5,3,2,Rural,0,429742.04441724427
3979,4,2,19,Suburban,0,691149.4490678443
2031,4,2,73,Suburban,1,386421.96613786736
1717,5,3,32,Rural,1,364364.6249090126
2466,5,1,27,Rural,0,481079.334218723
1160,2,2,26,Suburban,1,218376.87916286074
2561,2,1,19,Rural,0,421322.3045031033
2458,3,3,19,Urban,0,432397.3399147076
3338,1,1,13,Urban,0,514933.8327018008
2244,4,1,17,Urban,0,423969.0748202558
3472,5,2,92,Urban,0,612673.0124207621
4324,4,1,95,Urban,0,739265.201753116
2202,4,2,86,Suburban,0,406375.0357513917
3299,3,3,88,Urban,1,551550.442658555
4045,4,3,66,Rural,0,686716.1121905531
4174,4,3,43,Suburban,1,720877.7578223817
3029,5,1,66,Rural,1,564256.9778052643
1924,3,2,60,Suburban,1,335694.6659910336
4679,4,3,53,Suburban,1,774448.6097922304
2995,2,2,56,Suburban,1,475869.5352720464
1387,5,1,0,Suburban,0,305068.0472831697
4346,3,1,33,Urban,0,716127.5020251102
4695,1,2,27,Urban,0,729266.2361951132
2118,4,2,25,Rural,0,367233.8537297633
3186,4,2,43,Suburban,0,560016.301704592
1086,4,1,67,Suburban,0,238140.52587702833
3658,5,2,96,Rural,1,647463.9913725996
3724,5,1,50,Suburban,1,646325.4905475874
1831,2,1,63,Urban,0,332187.2631596063
1256,1,1,58,Suburban,0,198872.75412154017
1348,1,2,7,Suburban,0,236203.4546287908
917,4,1,77,Suburban,1,209278.9669230118
2511,3,2,12,Rural,0,432559.3857934545
1396,4,1,83,Suburban,1,299606.6912208584
3440,3,3,94,Urban,1,560410.6485417113
2457,4,3,56,Rural,0,452788.9158361664
4362,5,3,69,Suburban,1,766912.842611877
4568,2,1,12,Urban,0,711315.7855099387
2402,2,3,61,Suburban,1,412398.6295447712
2658,3,1,16,Urban,0,466984.96858032106
4075,3,3,68,Rural,0,677179.542331245
3583,3,2,7,Suburban,1,592162.1827772777
3742,1,1,76,Suburban,0,588057.920144512
4702,5,1,49,Suburban,0,797106.4591538592
1259,2,1,24,Urban,1,245728.7010548045
4632,1,2,59,Rural,1,717683.5486135493
4563,1,1,75,Rural,1,700514.4385847981
2828,2,2,69,Rural,0,460476.3310762745
4661,2,3,43,Urban,0,725351.6851478888
893,3,1,60,Suburban,1,196958.97541801032
722,1,2,17,Suburban,0,113374.08546235092
1714,4,3,70,Urban,0,325924.61953294976
1292,4,3,47,Suburban,1,278711.86085641565
1448,4,3,65,Rural,0,290916.18021568016
812,1,1,80,Suburban,1,140303.9770125349
3733,3,2,58,Urban,0,624840.8805852883
4982,2,1,21,Rural,1,796884.6154659647
2722,4,2,83,Urban,0,498257.6726893347
4578,1,2,99,Urban,1,702467.0716568547
1713,5,3,64,Rural,1,346953.54029877856
1377,5,3,70,Urban,1,285556.0359671858
3498,4,3,32,Suburban,1,606094.973812471
1511,2,1,3,Rural,0,273997.3600692823
1627,5,1,11,Suburban,1,327924.0732689556
1850,3,2,89,Rural,1,333716.4611125062
3545,3,2,46,Rural,1,599383.3179263994
4316,4,2,40,Urban,1,725220.8385701155
4142,3,2,39,Urban,1,691682.8837766992
2633,3,1,9,Urban,1,464584.6463684599
3901,4,3,92,Suburban,0,667535.0063391197
1620,4,1,7,Rural,0,326031.9094527853
3561,4,2,17,Urban,0,633518.2371886475
4173,5,3,94,Urban,1,727393.2343702248
3874,2,3,64,Urban,0,636194.0374843145
3492,1,3,79,Suburban,0,555503.3219417838
2643,2,1,19,Suburban,0,428852.64471069875
1196,2,3,51,Rural,0,219938.62045951816
1708,1,2,91,Rural,0,261163.95771229078
4941,3,3,75,Urban,1,803586.4027030307
2174,4,2,46,Urban,0,413657.9804985216
2530,3,3,16,Rural,0,453292.79830937233
2247,5,1,57,Rural,1,443944.0859812304
1683,2,1,15,Rural,0,301032.17244722135
2531,2,1,73,Urban,0,421681.67930542753
4366,5,3,2,Rural,0,762506.9311733249
638,1,3,93,Suburban,0,131072.8152348432
2551,3,3,46,Rural,0,439365.74775253946
1076,5,3,16,Suburban,0,257780.8163502404
2738,2,3,94,Suburban,1,439082.2790698984
1571,3,1,31,Urban,0,292137.25160333206
2674,4,1,55,Rural,0,494302.6780714719
4239,5,2,93,Suburban,0,732171.569864944
4888,1,1,19,Suburban,1,737986.5714078342
2408,4,3,23,Suburban,0,456386.4682472729
2154,3,1,57,Rural,1,391377.7981522287
1603,5,1,62,Urban,1,352921.6892545224
4054,3,1,29,Urban,0,677318.72541585
2801,3,1,7,Rural,0,467607.7645976626
4028,5,3,61,Rural,1,701326.4502660611
2912,1,3,20,Rural,1,455074.1980589385
3313,4,1,50,Rural,0,560957.2025724394
1844,2,2,78,Suburban,1,318986.4707904925
3891,2,2,35,Urban,0,615838.9089886218
4178,1,1,9,Urban,1,648571.3688065405
4228,2,1,41,Urban,0,677575.7210728306
3618,3,1,68,Urban,1,588076.611070842
3408,1,2,3,Urban,1,530230.3085981231
2231,4,3,16,Suburban,0,422705.6772185041
3991,4,1,27,Suburban,1,675064.2737736477
4722,2,1,13,Urban,1,748370.8388258128
3848,3,3,93,Urban,0,642094.1073646176
2435,5,2,97,Suburban,0,465845.61705705954
2030,3,3,41,Suburban,0,354585.96956542
959,5,3,26,Rural,1,234385.2088030055
4582,2,2,6,Urban,0,708556.9036575846
4029,3,3,42,Rural,1,677796.7990193956
1546,3,2,5,Urban,1,270972.9552692403
512,1,2,94,Rural,1,85695.9656448341
3144,5,1,95,Urban,1,558346.9171513926
4372,1,1,89,Suburban,1,671069.4552590121
2846,5,2,59,Rural,0,543378.3884216389
3060,5,1,62,Rural,1,551603.5552970462
4384,4,2,79,Suburban,0,751020.6037736582
2105,4,3,69,Rural,1,394818.2420575367
4799,4,2,22,Urban,1,807757.0235115332
1481,3,2,63,Suburban,0,298352.21858823224
3732,1,2,58,Rural,1,574288.060517692
2220,4,2,34,Rural,1,414377.6544487107
1014,3,2,88,Suburban,0,205084.55951110634
3386,5,1,50,Rural,1,605026.2822977535
2858,2,1,31,Rural,0,466077.50606872386
3448,3,3,95,Rural,0,567410.4854479247
1400,1,2,62,Rural,1,218519.83482135172
4470,5,2,54,Rural,1,761377.1778239945
3397,5,3,77,Rural,0,609600.3902244364
3809,2,2,43,Suburban,0,614577.9280419487
2162,3,3,24,Urban,0,389254.47831234004
1945,2,2,8,Suburban,1,325493.2715839628
1404,4,3,24,Rural,1,273315.9047279716
2761,4,1,4,Urban,1,507654.26361701585
2963,1,1,86,Suburban,1,458753.2866100204
3237,5,2,50,Rural,0,608497.7767405675
2795,5,2,82,Rural,1,537712.5770323775
4787,2,2,42,Suburban,1,763099.1410220645
3008,2,2,9,Suburban,1,504285.26432609145
1045,2,2,24,Urban,0,202798.232136319
933,2,1,44,Suburban,0,192188.56137330076
1888,4,3,57,Suburban,0,365426.4131597028
2856,2,2,23,Rural,1,471599.639897305
4655,4,2,93,Urban,0,782793.6998842751
4798,1,2,44,Urban,0,743741.367608214
1774,1,1,19,Suburban,1,288279.95184974174
4412,4,2,74,Rural,1,739887.4277490026
3067,1,1,5,Suburban,1,493992.57332108263
2230,4,2,94,Urban,1,415996.238827178
3367,3,1,89,Suburban,0,569487.077505941
4331,3,3,93,Urban,0,704190.1258114971
2069,2,1,10,Rural,0,337642.3496326856
2048,5,1,50,Urban,0,392526.8405247238
4442,2,3,87,Urban,1,702511.4832761807
3196,2,3,10,Suburban,1,520132.7784672261
4253,2,2,84,Urban,0,681183.4142898368
3198,4,2,6,Urban,0,571849.0536734238
2867,5,2,59,Urban,1,535603.1500110517
4530,4,1,88,Suburban,1,779890.5154277999
2445,2,2,61,Urban,0,393248.181204175
1139,2,3,30,Suburban,1,219874.52114433
3417,5,3,38,Suburban,1,634988.4067732673
506,1,2,65,Rural,1,88466.55706399711
2775,4,2,63,Rural,1,506004.86395207245
869,3,3,21,Suburban,0,196584.73056676687
2741,4,2,37,Suburban,0,497276.22448261076
730,3,1,92,Rural,0,169110.80356047206
738,5,3,30,Urban,1,214721.59505239126
4106,3,2,38,Suburban,1,682475.8574989475
2218,3,3,92,Rural,1,389956.3243067676
2183,3,1,13,Urban,1,386258.63413878507
720,3,3,7,Rural,0,173681.14631605367
2412,5,2,23,Suburban,1,465988.13968589995
4989,2,3,37,Rural,1,794929.5913068516
4673,3,3,95,Urban,0,767550.1824353588
683,5,2,55,Rural,1,197223.81715122965
1768,4,1,94,Urban,1,344506.43517705123
2202,3,3,8,Rural,0,389559.34234327625
4634,5,3,86,Rural,1,789172.8390531398
3059,2,3,63,Rural,1,500114.31800807384
4509,2,1,33,Urban,0,725567.7502304779
2322,5,3,15,Urban,1,448062.9766147812
4452,5,1,87,Suburban,1,756371.5499116955
1789,4,2,60,Urban,1,348462.625754332
1504,1,1,14,Urban,1,236887.7067224129
1092,3,2,89,Suburban,0,205057.54469945742
2868,1,1,79,Rural,1,440948.1563746185
3760,5,2,92,Suburban,0,648199.8312230386
967,4,1,10,Urban,0,230707.9293730397
730,3,3,87,Suburban,1,165078.17145643476
3283,3,3,19,Urban,0,550071.3349502515
2519,4,3,16,Suburban,1,447933.22353798524
1732,4,1,96,Suburban,1,355636.86721434345
4145,1,1,75,Suburban,0,652786.2496729327
913,1,1,89,Suburban,1,151921.992565858
3988,4,3,44,Suburban,1,686652.9124169545
4360,5,1,70,Suburban,1,758607.9414048836
2992,2,1,61,Rural,0,492982.2634024761
2687,1,2,68,Rural,1,421319.4366486678
1042,4,2,20,Urban,1,254414.36225314523
957,1,1,84,Urban,0,162328.69485943226
673,4,2,69,Urban,0,185888.20852415127
4945,4,1,51,Urban,0,829799.1118634439
3711,1,2,3,Suburban,1,571821.8816320051
3662,3,1,15,Suburban,0,606857.3827900919
545,3,2,21,Suburban,1,151259.3621236532
4049,1,3,10,Urban,0,630665.2158412236
1442,3,2,30,Suburban,0,262430.837961135
1976,2,3,89,Rural,1,323716.66478738474
3090,1,3,2,Rural,1,466424.9110585845
4088,4,2,7,Rural,1,689237.3840113449
2453,1,2,58,Rural,1,384278.0286635452
1033,3,1,83,Rural,1,224668.27007585982
4657,5,2,64,Rural,1,793204.249554003
2612,5,2,57,Urban,1,481264.8290724072
544,3,3,80,Urban,1,157048.53424627637
2011,1,1,40,Urban,1,318390.37911944283
587,3,3,18,Rural,1,155480.39833924282
699,3,2,58,Rural,1,164614.5763308549
3789,4,1,59,Urban,1,643133.297886966
4328,3,1,82,Rural,0,716803.5892516467
3263,3,1,95,Urban,0,539091.5943079138
3072,2,2,45,Urban,0,497877.20096183306
2750,2,3,65,Rural,0,449169.0884007422
562,3,2,96,Urban,1,141162.6463147299
3516,2,1,33,Rural,1,573818.6669755537
3031,2,1,95,Urban,1,488065.15502487845
2459,5,2,32,Suburban,1,465145.04416625627
1961,3,1,71,Rural,1,351598.81402148795
3493,5,2,18,Urban,0,630781.9396750033
4760,1,2,87,Urban,1,731693.1879699668
633,4,1,71,Urban,0,181892.54166902392
2915,2,2,35,Rural,1,476160.4852078294
2289,2,2,52,Urban,1,398868.11710774683
1845,2,2,56,Rural,0,317536.7486521184
934,4,3,87,Urban,1,235408.5573992236
1806,5,3,3,Rural,1,380215.3183350749
3844,3,1,22,Urban,1,629936.7170469093
2380,1,3,12,Suburban,1,381617.61154388235
3308,2,1,23,Urban,1,542268.3940973683
3052,3,3,70,Rural,0,530363.5532608517
3294,3,2,32,Rural,0,568165.1841656335
2512,5,1,95,Suburban,1,490295.49925430195
2959,3,1,25,Urban,1,513105.50047574047
3031,5,2,4,Suburban,0,532241.0425036519
3830,5,1,13,Urban,0,677273.6455145816
2373,4,1,67,Rural,0,430798.8186057091
4303,1,1,20,Rural,0,654112.56115147
4998,4,3,25,Rural,1,817049.1599422864
3313,2,1,67,Suburban,1,529839.3674408151
4136,2,3,89,Suburban,1,655377.0810761477
2545,2,3,38,Urban,1,428203.1948042616
2442,3,3,38,Suburban,0,420728.81186458934
1803,1,3,51,Suburban,1,300278.75930076314
1104,5,2,58,Suburban,0,244896.0901850947
2932,4,1,38,Urban,0,523694.507103655
1719,1,1,47,Urban,1,284446.0339112086
4867,4,2,24,Rural,1,799272.5377410202
2047,5,2,68,Urban,0,409588.2401733866
4396,5,1,74,Urban,1,752569.6758638148
3436,4,1,34,Urban,0,591895.5747842526
1395,2,2,3,Rural,0,265141.4468416419
3706,1,3,78,Suburban,0,561311.0804932924
1162,3,3,16,Suburban,1,229249.36541200048
3140,3,3,84,Urban,0,521316.1409982314
2221,1,1,22,Rural,1,337947.9437927964
1281,4,2,42,Urban,1,247965.17212641586
796,4,1,86,Urban,0,213517.67716023407
2469,1,3,51,Rural,0,407984.7189916193
1510,1,3,8,Urban,1,250066.74731093895
515,1,1,39,Urban,0,79239.72662079298
2853,2,1,91,Urban,1,488080.99034130573
4897,3,2,44,Urban,0,774968.6902391087
1693,1,3,61,Urban,0,271118.5939143081
1508,4,3,20,Rural,1,300127.2900884639
3180,3,3,31,Rural,0,543074.5039233818
1527,2,2,98,Urban,0,257968.16918597824
1680,3,2,42,Urban,0,314339.76903317944
778,5,1,27,Rural,1,209161.3131085208
534,5,3,69,Suburban,1,190001.49984974513
3722,1,2,21,Rural,1,570178.498529035
2330,3,3,11,Rural,0,400777.592532135
3574,3,2,30,Urban,0,608893.9831041648
1514,3,1,78,Urban,0,283740.35204027925
4538,3,3,37,Suburban,1,734116.4515493249
987,4,1,53,Suburban,0,225747.35657845627
4614,1,3,87,Suburban,0,716571.6579592567
3578,1,3,18,Rural,0,569957.1973217843
